question,answer
Quelle est la politique de retour des produits ?,Vous pouvez retourner un produit dans les 30 jours suivant la livraison.
Est-ce que j'ai une réduction avec la carte de fidélité ?,"Oui, les membres du programme de fidélité ont 10 % de réduction sur une sélection d'articles."
Comment suivre ma commande ?,Vous pouvez suivre votre commande grâce au lien de suivi envoyé par e-mail.
Quels moyens de paiement acceptez-vous ?,"Nous acceptons la carte bancaire, PayPal, le virement bancaire et le paiement en 3 fois sans frais."
Combien de temps faut-il pour être remboursé ?,Le remboursement est effectué sous 5 à 7 jours ouvrés après réception du retour.
Y a-t-il des soldes ou des promotions en ce moment ?,"Oui, consultez la rubrique « Bons plans » pour voir les soldes et réductions en cours."
Puis-je annuler ou modifier ma commande après l'avoir passée ?,Vous pouvez annuler ou modifier votre commande dans l'heure qui suit sa validation.
Livrez-vous à l'international ?,"Oui, nous livrons dans certains pays à l'étranger."
Que faire si je reçois un produit endommagé ?,Contactez notre service client sous 48 heures pour obtenir un remplacement ou un remboursement.
Comment utiliser un code promo lors du paiement ?,Saisissez votre code promo dans le champ prévu à cet effet au moment du paiement.
